Fecha,Tmax,Tmin,Lluvia,Fenologia_Observada
2024-08-01,23.5,13.1,0.0,
2024-08-02,23.9,13.5,0.0,
2024-08-03,24.1,13.8,0.0,
2024-08-04,24.5,14.0,0.0,
2024-08-05,24.8,14.2,0.0,
2024-08-06,25.0,14.5,0.0,
2024-08-07,25.3,14.7,0.0,
2024-08-08,25.5,14.9,0.0,
2024-08-09,26.0,15.1,0.0,
2024-08-10,26.2,15.5,0.0,
2024-08-11,26.5,16.0,0.0,
2024-08-12,26.8,16.2,0.0,
2024-08-13,27.0,16.5,0.0,
2024-08-14,27.3,16.8,0.0,
2024-08-15,27.5,17.0,0.0,Brotación Observada
2024-08-16,27.8,17.2,0.0,
2024-08-17,28.0,17.5,0.0,
2024-08-18,28.2,17.7,0.0,
2024-08-19,28.5,18.0,0.0,
2024-08-20,28.8,18.2,0.0,
2024-08-21,29.0,18.5,0.0,
2024-08-22,29.2,18.7,0.0,
2024-08-23,29.5,19.0,0.0,
2024-08-24,29.8,19.2,0.0,
2024-08-25,30.0,19.5,0.0,
2024-08-26,30.2,19.7,0.0,
2024-08-27,30.5,20.0,0.0,
2024-08-28,30.8,20.2,0.0,
2024-08-29,31.0,20.5,0.0,
2024-08-30,31.2,20.7,0.0,Floración Observada
2024-08-31,31.5,21.0,0.0,